pin,scan_date,verify_mode,io_mode,work_code
12536,"2023-07-10 08:54:40",0,0,0
18761,"2023-07-10 09:21:45",0,0,0
12672,"2023-07-10 09:23:17",0,0,0
11672,"2023-07-10 09:29:13",0,0,0
9370,"2023-07-10 10:18:47",0,0,0
11615,"2023-07-10 10:34:32",0,0,0
9136,"2023-07-10 11:16:19",0,0,0
6628,"2023-07-10 12:05:43",0,0,0
12249,"2023-07-10 13:01:32",0,0,0
71105,"2023-07-10 13:02:44",0,0,0
10571,"2023-07-10 13:12:34",0,0,0
100347,"2023-07-10 13:28:26",0,0,0
11047,"2023-07-10 14:01:32",0,0,0
18761,"2023-07-10 14:04:42",0,1,0
12804,"2023-07-10 14:35:14",0,1,0
12672,"2023-07-10 14:42:37",0,0,0
19295,"2023-07-10 14:59:56",0,1,0
9124,"2023-07-10 15:10:29",0,0,0
686,"2023-07-10 15:15:34",0,0,0
686,"2023-07-10 15:15:36",0,0,0
12936,"2023-07-10 15:39:08",0,0,0
12362,"2023-07-10 16:00:05",0,0,0
8944,"2023-07-10 16:01:41",0,1,0
8944,"2023-07-10 16:01:53",0,1,0
11098,"2023-07-10 16:07:50",0,1,0
11098,"2023-07-10 16:07:52",0,1,0
11098,"2023-07-10 16:07:55",0,1,0
9549,"2023-07-10 16:16:33",0,0,0
9549,"2023-07-10 16:16:35",0,0,0
8936,"2023-07-10 16:18:37",0,1,0
8936,"2023-07-10 16:18:40",0,1,0
112109,"2023-07-10 16:31:37",0,2,0
11181,"2023-07-10 17:09:26",0,0,0
11672,"2023-07-10 17:16:27",0,0,0
11053,"2023-07-10 17:46:41",0,0,0
10002,"2023-07-10 18:13:12",0,1,0
71822,"2023-07-10 20:33:20",0,0,0
71105,"2023-07-10 21:01:43",0,2,0
10571,"2023-07-10 21:55:57",0,0,0
100347,"2023-07-10 22:16:35",0,2,0
