pin,scan_date,verify_mode,io_mode,work_code
9999789,12-03-24 07:41,1,1,0
9999789,12-03-24 21:06,1,0,0
9999789,13-03-24 07:36,1,1,0
9999789,14-03-24 07:03,1,0,0
9999790,06-03-24 07:12,1,0,0
9999790,06-03-24 14:49,1,1,0
9999790,07-03-24 07:17,1,0,0
9999790,07-03-24 14:50,1,1,0
9999790,08-03-24 07:20,1,0,0
9999790,08-03-24 15:27,1,1,0
9999790,09-03-24 20:37,1,1,0
9999790,10-03-24 08:29,1,0,0
9999790,10-03-24 20:44,1,0,0
9999790,11-03-24 08:18,1,1,0
9999790,13-03-24 06:46,1,0,0
9999790,13-03-24 16:16,1,1,0
9999790,14-03-24 06:53,1,0,0
9999791,06-03-24 07:31,1,0,0
9999791,06-03-24 14:49,1,1,0
9999791,07-03-24 07:17,1,0,0
9999791,07-03-24 14:50,1,1,0
9999791,08-03-24 07:22,1,0,0
9999791,09-03-24 06:49,1,0,0
9999791,09-03-24 15:54,1,1,0
9999791,12-03-24 13:40,1,0,0
9999791,12-03-24 13:40,1,0,0
9999791,12-03-24 21:33,1,0,0
9999791,13-03-24 13:50,1,0,0
9999791,13-03-24 21:32,1,1,0
9999791,14-03-24 06:49,1,0,0
9999792,06-03-24 07:09,1,0,0
9999792,06-03-24 07:09,1,0,0
9999792,06-03-24 14:50,1,1,0
9999792,07-03-24 07:12,1,0,0
9999792,07-03-24 14:48,1,1,0
9999792,08-03-24 07:15,1,0,0
9999792,08-03-24 15:29,1,1,0
9999792,10-03-24 13:22,1,0,0
9999792,10-03-24 21:55,1,1,0
9999792,11-03-24 13:09,1,1,0
9999792,11-03-24 22:12,1,0,0
9999792,11-03-24 22:12,1,0,0
9999792,12-03-24 20:20,1,0,0
9999792,13-03-24 08:07,1,0,0
9999792,13-03-24 20:22,1,1,0
9999792,13-03-24 20:22,1,1,0
9999792,14-03-24 08:51,1,1,0
9999793,06-03-24 06:58,1,0,0
9999793,06-03-24 14:50,1,1,0
9999793,07-03-24 07:22,1,0,0
9999793,07-03-24 14:48,1,1,0
9999793,08-03-24 07:20,1,0,0
9999793,08-03-24 15:30,1,1,0
9999793,09-03-24 06:35,1,1,0
9999793,09-03-24 15:35,1,1,0
9999793,10-03-24 06:50,1,0,0
9999793,10-03-24 15:06,1,1,0
9999793,12-03-24 13:54,1,0,0
9999793,12-03-24 22:29,1,1,0
9999793,12-03-24 22:29,1,1,0
9999793,13-03-24 20:58,1,0,0
9999793,14-03-24 08:37,1,1,0
9999794,06-03-24 06:59,1,0,0
9999794,06-03-24 06:59,1,0,0
9999794,06-03-24 06:59,1,0,0
9999794,06-03-24 14:49,1,1,0
9999794,07-03-24 06:52,1,1,0
9999794,07-03-24 14:48,1,1,0
9999794,08-03-24 06:54,1,0,0
9999794,08-03-24 15:30,1,1,0
9999794,09-03-24 20:04,1,1,0
9999794,10-03-24 08:11,1,0,0
9999794,10-03-24 20:48,1,0,0
9999794,11-03-24 08:01,1,1,0
9999794,13-03-24 06:34,1,0,0
9999794,13-03-24 15:36,1,1,0
9999794,14-03-24 06:36,1,1,0
9999795,06-03-24 07:16,1,0,0
9999795,07-03-24 07:06,1,0,0
9999795,07-03-24 14:49,1,1,0
9999795,08-03-24 07:21,1,0,0
9999795,09-03-24 06:49,1,0,0
9999795,09-03-24 14:45,1,1,0
9999795,12-03-24 13:38,1,0,0
9999795,12-03-24 21:32,1,0,0
9999795,12-03-24 21:33,1,0,0
9999795,13-03-24 13:30,1,0,0
9999795,13-03-24 21:31,1,1,0
9999795,14-03-24 06:54,1,0,0
9999796,06-03-24 07:22,1,0,0
9999796,06-03-24 07:22,1,0,0
9999796,06-03-24 14:50,1,1,0
9999796,07-03-24 07:35,1,0,0
9999796,07-03-24 14:48,1,1,0
9999796,08-03-24 07:21,1,0,0
9999796,08-03-24 15:30,1,1,0
9999796,09-03-24 13:20,1,1,0
9999796,09-03-24 13:25,1,0,0
9999796,09-03-24 22:22,1,1,0
9999796,11-03-24 20:14,1,0,0
9999796,11-03-24 20:15,1,0,0
9999796,11-03-24 20:15,1,0,0
9999796,11-03-24 20:15,1,0,0
9999796,11-03-24 20:15,1,0,0
9999796,12-03-24 08:42,1,1,0
9999796,12-03-24 20:06,1,0,0
9999796,13-03-24 08:21,1,1,0
9999797,06-03-24 07:15,1,0,0
9999797,06-03-24 14:52,1,1,0
9999797,07-03-24 07:09,1,0,0
9999797,07-03-24 14:49,1,1,0
9999797,08-03-24 07:01,1,0,0
9999797,08-03-24 15:30,1,1,0
9999797,08-03-24 15:30,1,1,0
9999797,10-03-24 13:31,1,0,0
9999797,10-03-24 22:29,1,1,0
9999797,11-03-24 20:20,1,0,0
9999797,12-03-24 08:42,1,1,0
9999797,12-03-24 20:39,1,0,0
9999797,13-03-24 08:21,1,0,0
9999797,13-03-24 08:21,1,1,0
9999798,06-03-24 07:31,1,0,0
9999798,06-03-24 14:50,1,1,0
9999798,07-03-24 07:09,1,0,0
9999798,07-03-24 14:50,1,1,0
9999798,08-03-24 07:17,1,0,0
9999798,08-03-24 15:32,1,1,0
9999798,09-03-24 06:39,1,1,0
9999798,09-03-24 16:02,1,1,0
9999798,11-03-24 06:30,1,1,0
9999798,11-03-24 15:31,1,1,0
9999798,12-03-24 06:34,1,0,0
9999798,12-03-24 15:07,1,0,0
9999798,12-03-24 15:07,1,0,0
9999798,13-03-24 12:27,1,0,0
9999798,13-03-24 22:16,1,1,0
9999799,06-03-24 07:08,1,0,0
9999799,06-03-24 07:08,1,0,0
9999799,06-03-24 07:09,1,0,0
9999799,06-03-24 07:09,1,0,0
9999799,06-03-24 14:50,1,1,0
9999799,07-03-24 07:05,1,0,0
9999799,07-03-24 07:05,1,0,0
9999799,07-03-24 14:49,1,1,0
9999799,07-03-24 14:49,1,1,0
9999799,08-03-24 07:11,1,0,0
9999799,08-03-24 07:11,1,0,0
9999799,08-03-24 15:30,1,1,0
9999799,08-03-24 15:30,1,1,0
9999799,09-03-24 06:43,1,0,0
9999799,09-03-24 06:43,1,0,0
9999799,09-03-24 15:11,1,1,0
9999799,09-03-24 15:11,1,1,0
9999799,12-03-24 06:37,1,0,0
9999799,12-03-24 06:37,1,0,0
9999799,12-03-24 15:09,1,0,0
9999799,12-03-24 15:09,1,1,0
9999799,12-03-24 15:10,1,1,0
9999799,13-03-24 06:42,1,0,0
9999799,13-03-24 06:42,1,0,0
9999799,13-03-24 15:08,1,1,0
9999799,13-03-24 15:08,1,1,0
9999799,13-03-24 15:08,1,1,0
9999800,06-03-24 07:31,1,0,0
9999800,06-03-24 14:50,1,1,0
9999800,07-03-24 07:09,1,0,0
9999800,07-03-24 14:50,1,1,0
9999800,08-03-24 07:17,1,0,0
9999800,08-03-24 15:32,1,1,0
9999800,08-03-24 15:32,1,1,0
9999800,09-03-24 06:39,1,1,0
9999800,09-03-24 16:02,1,1,0
9999800,09-03-24 16:03,1,1,0
9999800,11-03-24 06:27,1,1,0
9999800,11-03-24 15:18,1,1,0
9999800,12-03-24 06:35,1,0,0
9999800,12-03-24 15:07,1,0,0
9999800,12-03-24 15:07,1,0,0
9999800,13-03-24 12:29,1,0,0
9999800,13-03-24 12:29,1,0,0
9999800,13-03-24 22:16,1,1,0
9999964,04-03-24 18:00,1,1,0
99999001,07-03-24 07:14,1,0,0
99999001,07-03-24 07:14,1,0,0
99999001,07-03-24 14:49,1,1,0
99999001,08-03-24 07:08,1,0,0
99999001,08-03-24 15:30,1,1,0
99999001,09-03-24 13:25,1,0,0
99999001,09-03-24 22:22,1,1,0
99999001,11-03-24 06:25,1,1,0
99999001,11-03-24 06:25,1,1,0
99999001,11-03-24 15:18,1,1,0
99999001,12-03-24 15:21,1,1,0
99999001,13-03-24 12:30,1,0,0
99999001,13-03-24 21:57,1,1,0
99999001,13-03-24 21:57,1,1,0
99999002,06-03-24 07:22,1,0,0
99999002,06-03-24 14:50,1,1,0
99999002,07-03-24 07:16,1,0,0
99999002,07-03-24 14:49,1,1,0
99999002,08-03-24 07:09,1,0,0
99999002,08-03-24 15:29,1,1,0
99999002,09-03-24 06:50,1,0,0
99999002,12-03-24 06:31,1,0,0
99999002,12-03-24 15:08,1,0,0
99999002,12-03-24 15:10,1,1,0
99999002,13-03-24 06:41,1,0,0
99999003,06-03-24 07:43,1,0,0
99999003,06-03-24 14:52,1,1,0
99999003,07-03-24 07:04,1,0,0
99999003,07-03-24 14:48,1,1,0
99999003,09-03-24 06:42,1,0,0
99999003,09-03-24 15:22,1,1,0
99999003,10-03-24 06:51,1,0,0
99999003,10-03-24 14:56,1,1,0
99999003,12-03-24 13:49,1,0,0
99999003,12-03-24 21:45,1,1,0
99999003,13-03-24 20:49,1,0,0
99999003,14-03-24 07:52,1,0,0
99999004,06-03-24 07:12,1,0,0
99999004,06-03-24 14:49,1,1,0
99999004,07-03-24 07:17,1,0,0
99999004,07-03-24 14:50,1,1,0
99999004,08-03-24 07:12,1,0,0
99999004,08-03-24 15:27,1,1,0
99999004,09-03-24 13:28,1,0,0
99999004,09-03-24 22:23,1,1,0
99999004,10-03-24 13:25,1,0,0
99999004,10-03-24 22:29,1,1,0
99999004,12-03-24 06:21,1,0,0
99999004,12-03-24 15:21,1,1,0
99999004,13-03-24 20:18,1,1,0
99999004,13-03-24 20:18,1,1,0
99999004,14-03-24 08:39,1,1,0
